G#/Ab Dorian b2,G#/Ab A B C#/Db D#/Eb F F#/Gb
A Dorian b2,A A#/Bb C D E F#/Gb G
A#/Bb Dorian b2,A#/Bb B C#/Db D#/Eb F G G#/Ab
B Dorian b2,B C D E F#/Gb G#/Ab A
C Lydian augmented,C D E F#/Gb G#/Ab A B
C#/Db Lydian augmented,C#/Db D#/Eb F G A A#/Bb C
D Lydian augmented,D E F#/Gb G#/Ab A#/Bb B C#/Db
D#/Eb Lydian augmented,D#/Eb F G A B C D
E Lydian augmented,E F#/Gb G#/Ab A#/Bb C C#/Db D#/Eb
F Lydian augmented,F G A B C#/Db D E
F#/Gb Lydian augmented,F#/Gb G#/Ab A#/Bb C D D#/Eb F
G Lydian augmented,G A B C#/Db D#/Eb E F#/Gb
G#/Ab Lydian augmented,G#/Ab A#/Bb C D E F G
A Lydian augmented,A B C#/Db D#/Eb F F#/Gb G#/Ab
A#/Bb Lydian augmented,A#/Bb C D E F#/Gb G A
B Lydian augmented,B C#/Db D#/Eb F G G#/Ab A#/Bb
C Lydian b7,C D E F#/Gb G A A#/Bb
C#/Db Lydian b7,C#/Db D#/Eb F G G#/Ab A#/Bb B
D Lydian b7,D E F#/Gb G#/Ab A B C
D#/Eb Lydian b7,D#/Eb F G A A#/Bb C C#/Db
E Lydian b7,E F#/Gb G#/Ab A#/Bb B C#/Db D
F Lydian b7,F G A B C D D#/Eb
F#/Gb Lydian b7,F#/Gb G#/Ab A#/Bb C C#/Db D#/Eb E
G Lydian b7,G A B C#/Db D E F
G#/Ab Lydian b7,G#/Ab A#/Bb C D D#/Eb F F#/Gb
A Lydian b7,A B C#/Db D#/Eb E F#/Gb G
A#/Bb Lydian b7,A#/Bb C D E F G G#/Ab
B Lydian b7,B C#/Db D#/Eb F F#/Gb G#/Ab A
C Mixolydian b13,C D E F G G#/Ab A#/Bb
C#/Db Mixolydian b13,C#/Db D#/Eb F F#/Gb G#/Ab A B
D Mixolydian b13,D E F#/Gb G A A#/Bb C
